City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,0.71,64,40,1.16,TF,1722866688
1,albany,42.6001,-73.9662,26.26,70,6,0.45,US,1722866681
2,edinburgh of the seven seas,-37.0676,-12.3116,13.94,81,55,13.57,SH,1722866690
3,carnarvon,-24.8667,113.6333,18.7,59,0,4.95,AU,1722866692
4,alagoinhas,-12.1356,-38.4192,27.42,50,62,5.35,BR,1722866693
5,dazkiri,37.9186,29.8606,35.8,18,18,6.3,TR,1722866694
6,ust-nera,64.5667,143.2,10.8,70,92,1.86,RU,1722866695
7,ushuaia,-54.8,-68.3,-4.21,80,20,2.06,AR,1722866696
8,sarmiento,-45.5882,-69.07,2.93,98,100,4.83,AR,1722866688
9,ouesso,1.6136,16.0517,32.71,42,99,0.86,CG,1722866698
10,blackmans bay,-43.0167,147.3167,10.41,72,90,1.79,AU,1722866699
11,tiksi,71.6872,128.8694,9.43,94,99,2.23,RU,1722866700
12,paola,39.3599,16.0396,34.83,61,100,2.3,IT,1722866701
13,hasaki,35.7333,140.8333,26.22,87,17,0.97,JP,1722866702
14,bredasdorp,-34.5322,20.0403,14.88,62,32,6.68,ZA,1722866475
15,waitangi,-43.9535,-176.5597,8.79,94,91,1.34,NZ,1722866704
16,ulladulla,-35.35,150.4667,7.09,69,84,2.11,AU,1722866705
17,zaozersk,69.4005,32.4476,12.77,72,11,4.93,RU,1722866706
18,adamstown,-25.066,-130.1015,19.44,70,71,6.77,PN,1722866707
19,puerto natales,-51.7236,-72.4875,-0.75,93,20,0.0,CL,1722866708
20,udachny,66.4167,112.4,11.89,81,81,7.72,RU,1722866709
21,barah,13.7,30.3667,32.84,40,97,6.92,SD,1722866417
22,los palacios y villafranca,37.1618,-5.9243,38.9,30,0,3.6,ES,1722866461
23,grytviken,-54.2811,-36.5092,-5.89,76,100,4.4,GS,1722866712
24,soe,-9.8607,124.284,16.48,93,13,2.13,ID,1722866713
25,crane,31.3974,-102.3501,25.78,53,100,3.86,US,1722866588
26,jamestown,42.097,-79.2353,24.84,83,20,3.09,US,1722866492
27,tolanaro,-25.0319,46.9987,26.04,61,0,5.14,MG,1722866508
28,arteche,12.2645,125.4048,25.75,89,79,1.82,PH,1722866719
29,afaahiti,-17.75,-149.2833,20.93,77,89,5.23,PF,1722866720
30,dudinka,69.4058,86.1778,11.8,57,0,8.66,RU,1722866667
31,margaret river,-33.95,115.0667,15.78,86,59,7.63,AU,1722866722
32,yellowknife,62.456,-114.3525,13.29,88,75,3.6,CA,1722866723
33,bhamo,24.2667,97.2333,24.39,99,100,0.48,MM,1722866724
34,weyburn,49.6668,-103.8511,14.12,77,100,5.66,CA,1722866725
35,thompson,55.7435,-97.8558,12.09,76,20,1.03,CA,1722866726
36,olonkinbyen,70.9221,-8.7187,6.18,94,100,2.22,SJ,1722866727
37,klyuchi,52.2667,79.1667,21.24,51,83,2.73,RU,1722866728
38,sitka,57.0531,-135.33,14.94,77,20,0.0,US,1722866729
39,wailua homesteads,22.0669,-159.378,23.75,86,20,6.17,US,1722866730
40,fort bragg,35.139,-79.006,27.91,85,40,1.54,US,1722866516
41,suncho corral,-27.9336,-63.4294,17.6,61,0,2.44,AR,1722866732
42,mareeba,-17.0,145.4333,17.4,88,4,1.09,AU,1722866734
43,west island,-12.1568,96.8225,25.99,69,74,4.63,CC,1722866735
44,constantia,44.1833,28.65,27.61,49,100,4.42,RO,1722866736
45,dwarka,22.2394,68.9678,28.18,86,100,8.62,IN,1722866738
46,selfoss,63.9331,-20.9971,14.47,90,100,1.87,IS,1722866739
47,kostroma,57.7708,40.9344,22.34,63,34,1.89,RU,1722866740
48,tsiombe,-25.3,45.4833,26.36,34,22,2.74,MG,1722866741
49,invercargill,-46.4,168.35,3.34,91,59,1.34,NZ,1722866742
50,iqaluit,63.7506,-68.5145,5.85,93,100,1.54,CA,1722866743
51,porto novo,6.4965,2.6036,28.9,64,100,5.6,BJ,1722866744
52,la passe,45.5549,-0.8967,30.23,56,0,4.9,FR,1722866733
53,grand falls-windsor,48.9332,-55.6649,18.59,97,100,1.35,CA,1722866484
54,rio grande,-32.035,-52.0986,17.06,93,81,6.03,BR,1722866747
55,stanley,54.868,-1.6985,22.98,71,40,8.75,GB,1722866552
56,hadibu,12.65,54.0333,26.52,75,100,7.79,YE,1722866578
57,enewetak,11.3474,162.3373,28.8,75,96,2.41,MH,1722866687
58,grande prairie,55.1667,-118.8027,12.1,94,100,2.06,CA,1722866751
59,coquimbo,-29.9533,-71.3436,12.77,76,0,4.63,CL,1722866459
60,al kharijah,25.4514,30.5464,42.04,11,25,4.97,EG,1722866753
61,bumba,2.1833,22.4667,31.69,44,98,0.89,CD,1722866755
62,wake village,33.4268,-94.1063,29.3,71,0,2.06,US,1722866756
63,santarem,-2.4431,-54.7083,31.07,66,0,6.69,BR,1722866757
64,haiku-pauwela,20.9219,-156.3051,22.92,81,20,3.6,US,1722866758
65,utrik,11.2278,169.8474,28.42,79,100,7.27,MH,1722866759
66,vorgashor,67.5833,63.95,16.22,45,6,3.87,RU,1722866542
67,santa terezinha,-29.9002,-50.0904,17.77,95,74,0.85,BR,1722866761
68,bubaque,11.2833,-15.8333,26.32,82,100,4.61,GW,1722866492
69,hengchun,22.0042,120.7439,29.75,73,98,0.89,TW,1722866763
70,saipan,15.1355,145.701,27.39,83,0,2.57,MP,1722866764
71,minas de marcona,-15.2119,-75.1103,12.11,77,52,5.75,PE,1722866765
72,kolonia town,6.964,158.206,29.08,74,76,3.65,FM,1722866766
73,cordeiro,-22.0286,-42.3608,24.83,52,0,2.45,BR,1722866767
74,grantham,52.9115,-0.6418,24.12,72,75,7.72,GB,1722866769
75,aykhal,66.0,111.5,9.51,91,17,7.48,RU,1722866770
76,hawaiian paradise park,19.5933,-154.9731,21.61,96,0,3.09,US,1722866771
77,mount pearl,47.5166,-52.7813,23.19,88,75,7.72,CA,1722866521
78,puerto ayora,-0.7393,-90.3518,20.98,81,95,4.17,EC,1722866774
79,aleksandrov gay,50.147,48.5704,33.27,25,100,8.66,RU,1722866775
80,college,64.8569,-147.8028,13.03,93,75,2.06,US,1722866776
81,ribeira grande,38.5167,-28.7,27.22,78,40,5.66,PT,1722866777
82,nar'yan-mar,67.6713,53.087,16.05,48,1,7.43,RU,1722866778
83,hermanus,-34.4187,19.2345,16.56,70,38,8.79,ZA,1722866779
84,luderitz,-26.6481,15.1594,19.06,42,0,8.61,NA,1722866560
85,salinopolis,-0.6136,-47.3561,29.56,63,15,6.31,BR,1722866781
86,nizhnesortymskiy,62.4397,71.7603,14.29,79,100,7.78,RU,1722866669
87,ballina,-28.8667,153.5667,16.95,79,100,5.52,AU,1722866783
88,ola,59.5833,151.2833,11.87,88,100,1.61,RU,1722866784
89,puerto deseado,-47.7503,-65.8938,4.25,86,100,7.55,AR,1722866761
90,port mathurin,-19.6833,63.4167,22.67,72,6,6.37,MU,1722866568
91,tual,-5.6667,132.75,25.33,89,100,9.35,ID,1722866787
92,bethel,41.3712,-73.414,27.99,77,2,0.89,US,1722866520
93,anadyr,64.75,177.4833,2.28,93,75,6.0,RU,1722866789
94,susuman,62.7833,148.1667,12.53,45,100,2.62,RU,1722866790
95,mount gambier,-37.8333,140.7667,5.04,100,36,2.18,AU,1722866791
96,isafjordur,66.0755,-23.124,13.02,71,75,7.72,IS,1722866792
97,weno,7.4515,151.8468,28.94,74,39,4.33,FM,1722866676
98,uturoa,-16.7333,-151.4333,25.27,77,100,6.17,PF,1722866547
99,cartagena,10.3997,-75.5144,30.79,84,40,2.06,CO,1722866588
100,bilibino,68.0546,166.4372,2.0,77,99,2.87,RU,1722866796
101,badger,64.8,-147.5333,12.98,93,75,2.06,US,1722866797
102,cidreira,-30.1811,-50.2056,17.87,95,97,1.27,BR,1722866627
103,pacific grove,36.6177,-121.9166,14.12,98,100,3.58,US,1722866800
104,punta arenas,-53.15,-70.9167,-0.99,86,0,3.6,CL,1722866308
105,ponta delgada,37.7333,-25.6667,25.4,88,20,4.12,PT,1722866802
106,yangambi,0.8102,24.4336,31.09,47,94,0.99,CD,1722866803
107,codajas,-3.8367,-62.0569,33.85,31,96,2.34,BR,1722866806
108,thinadhoo,0.5333,72.9333,28.62,70,100,2.01,MV,1722866807
109,winnemucca,40.973,-117.7357,18.03,42,0,0.0,US,1722866808
110,longyearbyen,78.2186,15.6401,10.91,82,20,5.66,SJ,1722866809
111,san martin,-33.081,-68.4681,13.98,34,0,3.46,AR,1722866810
112,lompoc,34.6391,-120.4579,13.08,96,100,2.06,US,1722866811
113,daleville,31.3102,-85.713,28.11,76,0,7.72,US,1722866812
114,san antonio de pale,-1.4014,5.6325,22.23,72,95,4.12,GQ,1722866813
115,mandalgovi,45.7625,106.2708,16.82,65,3,3.22,MN,1722866814
116,north bay,46.3168,-79.4663,17.19,87,66,2.77,CA,1722866815
117,sumbe,-11.2061,13.8437,22.44,76,24,3.84,AO,1722866816
118,ochakiv,46.6128,31.5498,26.57,52,61,3.89,UA,1722866817
119,olyokminsk,60.3736,120.4264,12.55,96,100,1.47,RU,1722866818
120,bamboo flat,11.7,92.7167,26.05,89,75,3.6,IN,1722866820
121,choibalsan,48.0667,114.5,16.6,78,85,3.74,MN,1722866821
122,portland,45.5234,-122.6762,16.45,85,20,2.57,US,1722866760
123,barmer,25.75,71.3833,25.47,89,100,7.81,IN,1722866823
124,kodiak,57.79,-152.4072,11.73,100,100,2.06,US,1722866824
125,yanchep,-31.55,115.6833,13.45,80,0,3.43,AU,1722866825
126,flying fish cove,-10.4217,105.6791,24.82,83,75,5.14,CX,1722866826
127,matane,48.8286,-67.522,16.72,62,62,4.91,CA,1722866827
128,petropavlovsk-kamchatsky,53.0452,158.6483,9.35,90,100,0.07,RU,1722866828
129,papatowai,-46.5619,169.4708,5.17,87,10,3.07,NZ,1722866830
130,amga,60.8953,131.9608,12.79,96,100,4.39,RU,1722866832
131,berezovyy,51.6667,135.7,16.84,85,100,1.76,RU,1722866725
132,gizo,-8.103,156.8419,26.66,83,100,6.68,SB,1722866834
133,palikir - national government center,6.9248,158.1611,28.5,74,71,3.76,FM,1722866835
134,acapulco de juarez,16.8634,-99.8901,26.9,78,75,2.57,MX,1722866764
135,quelimane,-17.8786,36.8883,27.38,51,0,4.1,MZ,1722866805
136,bulungu,-4.55,18.6,38.21,20,95,1.57,CD,1722866839
137,kharovsk,59.9642,40.1912,18.32,84,100,2.95,RU,1722866840
138,betio village,1.358,172.9211,28.64,66,96,5.47,KI,1722866841
139,hithadhoo,-0.6,73.0833,29.03,75,100,5.15,MV,1722866842
140,east london,-33.0153,27.9116,18.52,39,0,5.66,ZA,1722866698
141,colonia,50.9333,6.95,28.31,50,20,2.57,DE,1722866844
142,an nuhud,12.7,28.4333,31.78,42,86,5.18,SD,1722866845
143,labytnangi,66.6572,66.4183,14.67,48,100,6.32,RU,1722866586
144,peace river,56.2501,-117.286,13.7,100,75,2.57,CA,1722866847
145,cozumel,20.5083,-86.9458,30.53,78,18,3.53,MX,1722866403
146,lihue,21.9789,-159.3672,24.09,89,20,6.17,US,1722866849
147,callao,-12.0667,-77.15,18.01,82,100,1.54,PE,1722866850
148,port elizabeth,-33.918,25.5701,17.83,56,0,3.13,ZA,1722866851
149,el fasher,13.6279,25.3494,29.67,48,76,4.25,SD,1722866852
150,masterton,-40.9597,175.6575,3.39,93,0,1.23,NZ,1722866853
151,saint-pierre,-21.3393,55.4781,22.82,68,20,5.14,RE,1722866789
152,daru,-9.0763,143.2092,24.2,90,96,6.92,PG,1722866855
153,kidal,18.4411,1.4078,37.57,28,83,4.7,ML,1722866856
154,birobidzhan,48.8,132.95,19.29,100,100,2.6,RU,1722866857
155,sabha,27.0377,14.4283,41.34,8,0,4.42,LY,1722866858
156,bayanhongor,46.7167,100.1167,13.58,41,2,2.74,MN,1722866859
157,semera,11.501,41.201,35.08,32,80,3.11,ET,1722866860
158,bijie,27.3125,105.2942,20.15,92,90,0.92,CN,1722866861
159,bonthe,7.5264,-12.505,26.98,78,89,4.09,SL,1722866863
160,sisimiut,66.9395,-53.6735,7.76,79,98,2.92,GL,1722866864
161,kailua-kona,19.6406,-155.9956,23.49,91,100,0.77,US,1722866813
162,tura,25.5198,90.2201,24.65,97,100,2.42,IN,1722866866
163,quellon,-43.1167,-73.6167,8.12,93,100,5.82,CL,1722866867
164,tionk essil,12.7856,-16.5217,27.8,78,100,4.8,SN,1722866868
165,san diego country estates,33.0067,-116.7836,26.68,56,0,0.0,US,1722866869
166,severo-yeniseyskiy,60.3725,93.0408,16.69,70,84,1.8,RU,1722866870
167,guerrero negro,27.9769,-114.0611,20.56,84,100,2.71,MX,1722866871
168,srivardhan,18.0333,73.0167,26.74,88,8,4.72,IN,1722866872
169,iskateley,67.6803,53.1512,16.1,48,2,7.45,RU,1722866873
170,rabaul,-4.1967,152.1721,25.63,84,6,4.85,PG,1722866875
